borough,date,asthma_er_count,ppt,pm25
Bronx,2016-01-01,60,0,5.04
Bronx,2016-01-02,85,0,8.433333333333334
Bronx,2016-01-03,73,0,9.766666666666666
Bronx,2016-01-04,110,0,5.84
Bronx,2016-01-05,73,0,11.1
Bronx,2016-01-06,90,0,14.5
Bronx,2016-01-07,84,0,21.94
Bronx,2016-01-08,82,0,13.05
Bronx,2016-01-09,69,0.0028633308895063534,11
Bronx,2016-01-10,80,38.819472596215824,4.28
Bronx,2016-01-11,102,6.893756700304197,6.166666666666667
Bronx,2016-01-12,75,0,8.666666666666666
Bronx,2016-01-13,86,1.4480797876467163e-4,7.359999999999999
Bronx,2016-01-14,71,0,12.1
Bronx,2016-01-15,85,0,17.95
Bronx,2016-01-16,68,5.936412536840902,9.466666666666667
Bronx,2016-01-17,67,0.13598493221505656,6.733333333333333
Bronx,2016-01-18,80,0.9307095911233146,7.1
Bronx,2016-01-19,99,0,5.34
Bronx,2016-01-20,100,0,5.7
Bronx,2016-01-21,87,0,6.5
Bronx,2016-01-22,62,0,4.12
Bronx,2016-01-23,43,21.358675855701307,4.766666666666667
Bronx,2016-01-24,55,44.47275316133489,9.033333333333333
Bronx,2016-01-25,74,0,15
Bronx,2016-01-26,74,0,12.700000000000001
Bronx,2016-01-27,81,0,8.866666666666667
Bronx,2016-01-28,70,0,11.74
Bronx,2016-01-29,64,0,10.866666666666667
Bronx,2016-01-30,68,0,9.1
Bronx,2016-01-31,72,0,13.299999999999999
Bronx,2016-02-01,88,0,11.466666666666667
Bronx,2016-02-02,95,0.9093008817111474,7.3
Bronx,2016-02-03,77,0,6.3
Bronx,2016-02-04,79,13.251471896746231,5.8
Bronx,2016-02-05,88,12.846566189934464,4.333333333333333
Bronx,2016-02-06,61,4.914915095550491,9.02
Bronx,2016-02-07,78,0,11.466666666666667
Bronx,2016-02-08,86,0,4.933333333333334
Bronx,2016-02-09,106,0.203535945045167,7.58
Bronx,2016-02-10,93,0.3792358217828678,10.133333333333335
Bronx,2016-02-11,69,0.001566478703401613,4.7
Bronx,2016-02-12,70,0,5.68
Bronx,2016-02-13,56,0,6.733333333333333
Bronx,2016-02-14,63,0,5.566666666666666
Bronx,2016-02-15,88,0,9.6
Bronx,2016-02-16,92,12.238339714403507,7.233333333333333
Bronx,2016-02-17,94,21.254652683650548,7.566666666666666
Bronx,2016-02-18,79,0,4.12
Bronx,2016-02-19,82,0,6.4
Bronx,2016-02-20,69,0,6.65
Bronx,2016-02-21,85,0,6.675
Bronx,2016-02-22,87,2.174563380252367,3.8
Bronx,2016-02-23,79,0,3.466666666666667
Bronx,2016-02-24,74,12.173012079397328,2.58
Bronx,2016-02-25,77,26.113558498143643,6.8
Bronx,2016-02-26,69,0.0094636299612618,4.033333333333333
Bronx,2016-02-27,72,0,6.3
Bronx,2016-02-28,78,0,10.433333333333334
Bronx,2016-02-29,109,0,9.533333333333333
Bronx,2016-03-01,74,0.9998598378579633,5.4399999999999995
Bronx,2016-03-02,85,4.379956020348159,6.6
Bronx,2016-03-03,78,0,4.5
Bronx,2016-03-04,101,2.025921030912493,8.14
Bronx,2016-03-05,84,1.278065733385098,4.866666666666667
Bronx,2016-03-06,94,0,6.8
Bronx,2016-03-07,101,0,15.719999999999999
Bronx,2016-03-08,78,0,21.133333333333333
Bronx,2016-03-09,84,0,23.366666666666667
Bronx,2016-03-10,86,0,14.98
Bronx,2016-03-11,79,0.3387345808557009,2.6
Bronx,2016-03-12,52,0,4.133333333333333
Bronx,2016-03-13,72,0,7.08
Bronx,2016-03-14,97,2.4460788439283268,3.166666666666667
Bronx,2016-03-15,107,13.059130079317299,3.0666666666666664
Bronx,2016-03-16,86,6.150619063818824e-7,9.52
Bronx,2016-03-17,79,1.5101890444547221,5.1
Bronx,2016-03-18,75,1.0477359146539882,4.633333333333334
Bronx,2016-03-19,90,0,3.06
Bronx,2016-03-20,76,0,2.6333333333333333
Bronx,2016-03-21,95,3.222483778663841,4.066666666666666
Bronx,2016-03-22,91,0,5.96
Bronx,2016-03-23,69,0,10.266666666666667
Bronx,2016-03-24,84,0,7.866666666666666
